Time_h	G01_YPD1	G01_YPD2	G01_YPD3	G02_YPD1	G02_YPD2	G02_YPD3	G03_YPD1	G03_YPD2	G03_YPD3	G10001_YPD1	G10001_YPD2	G10001_YPD3	G10002_YPD1	G10002_YPD2	G10002_YPD3	G10003_YPD1	G10003_YPD2	G10003_YPD3
0	0.0289	0.0294	0.0239	0.0249	0.0246	0.0216	0.0224	0.022	0.0235	0.0207	0.0242	0.026	0.0223	0.0282	0.0323	0.0224	0.0285	0.027
0.340418333	0.039	0.0375	0.0402	0.0395	0.0384	0.0372	0.039	0.0379	0.0384	0.042	0.0427	0.043	0.046	0.0382	0.0424	0.044	0.0494	0.0443
0.680985	0.0378	0.0375	0.0389	0.0375	0.0376	0.0358	0.0385	0.0376	0.0375	0.0426	0.0427	0.0421	0.0462	0.039	0.0412	0.0425	0.0475	0.0446
1.021477778	0.0384	0.0385	0.0402	0.0392	0.0383	0.0374	0.0393	0.0409	0.0388	0.0445	0.044	0.0449	0.0451	0.0397	0.0428	0.0428	0.0484	0.0483
1.3619025	0.0404	0.0392	0.0418	0.0408	0.0396	0.0386	0.0404	0.0389	0.0398	0.0459	0.047	0.0464	0.0465	0.0412	0.0439	0.0437	0.05	0.0522
1.702455833	0.044	0.0433	0.0466	0.0436	0.0426	0.0409	0.0438	0.0429	0.0425	0.0508	0.0494	0.051	0.0495	0.0431	0.0455	0.0485	0.0555	0.049
2.043013056	0.0486	0.0487	0.0498	0.0494	0.0491	0.0472	0.0489	0.049	0.0488	0.0565	0.0556	0.057	0.056	0.0496	0.0528	0.0543	0.0605	0.0555
2.383430278	0.0506	0.0484	0.0505	0.0527	0.0486	0.0467	0.0494	0.0502	0.0486	0.0582	0.0562	0.0565	0.0593	0.052	0.0531	0.0561	0.064	0.0591
2.72397	0.0646	0.0606	0.0621	0.062	0.0605	0.0577	0.0624	0.0625	0.0609	0.0727	0.0707	0.0709	0.0731	0.0631	0.0672	0.0708	0.0775	0.0748
3.064523056	0.0738	0.0706	0.0729	0.0736	0.0727	0.0689	0.073	0.0703	0.0694	0.0864	0.0839	0.086	0.0861	0.0867	0.0785	0.0836	0.0921	0.0881
3.404941667	0.0857	0.0871	0.0883	0.0861	0.0839	0.0811	0.0856	0.0829	0.0824	0.1019	0.0999	0.0992	0.11	0.0888	0.0926	0.0993	0.1105	0.1003
3.745372222	0.1017	0.0974	0.0988	0.102	0.0987	0.0954	0.0999	0.0985	0.0966	0.1205	0.1175	0.1161	0.1202	0.106	0.1089	0.1184	0.1293	0.1208
4.085928611	0.119	0.1125	0.1278	0.1195	0.1158	0.1101	0.1165	0.1126	0.1107	0.1411	0.1391	0.136	0.1428	0.1231	0.1289	0.1392	0.1535	0.1398
4.426349722	0.1375	0.1317	0.1329	0.1376	0.1328	0.1244	0.1343	0.1364	0.1266	0.164	0.1615	0.1557	0.1638	0.143	0.1468	0.1618	0.1842	0.1634
4.766768333	0.1695	0.1613	0.1652	0.1709	0.165	0.1564	0.1669	0.1595	0.1597	0.2067	0.1993	0.1954	0.205	0.1783	0.1811	0.2028	0.2246	0.2008
5.107324167	0.2	0.1891	0.2	0.2007	0.1946	0.1845	0.1953	0.1884	0.1858	0.24	0.2354	0.2295	0.2449	0.2128	0.2164	0.2435	0.2634	0.2402
5.447748889	0.2407	0.2271	0.2312	0.239	0.23	0.2216	0.2331	0.2219	0.2229	0.2884	0.2811	0.2762	0.2993	0.2531	0.2563	0.2959	0.3176	0.2906
5.788167778	0.2855	0.2698	0.2745	0.2844	0.2743	0.2644	0.2788	0.2642	0.264	0.3425	0.3362	0.3264	0.3432	0.3031	0.3045	0.3519	0.3798	0.3445
6.128721111	0.3344	0.3171	0.3231	0.3344	0.3232	0.3074	0.3243	0.3096	0.3075	0.4019	0.3941	0.3827	0.4043	0.3574	0.358	0.4133	0.4426	0.4133
6.469247778	0.3959	0.3731	0.3816	0.3934	0.381	0.3642	0.3819	0.3636	0.363	0.4719	0.459	0.4486	0.4702	0.423	0.425	0.4833	0.5152	0.4721
6.809666111	0.4538	0.4299	0.4391	0.4533	0.4396	0.4212	0.4388	0.4217	0.4171	0.5336	0.5259	0.5129	0.5342	0.4839	0.4832	0.5528	0.5823	0.5412
